,url,comments,cnt
0,/gift/detail/send,보낸 선물 상세,154
1,/my/refund/account#popup-service-1,,7
2,/gift/list#popup-service-2,,1
3,/member/login/view#popup-service-14,,1
4,/member/login/channel/naver,,1641
5,/my/unsubscribe/refund,환불,8374
6,/sti/EDRDDY,,1
7,/member/login/view#popup-service-7,,1
8,/searchClickDummy,,40971
9,/setting/view#popup-service-2,,29
10,/member/join/auth/send,휴대폰 본인 인증,16847
11,/member/login/view#popup-service-3,,5
12,/common/error,,4662
13,/my/terms/mms/join/product/complete,고객센터 유입 상품가입 mms 약관 동의완료,3491
14,/netflix/bundle/join,넷플릭스 하드번들 가입,2076
15,/member/login/view#popup-service-5,,1
16,/cart/view#popup-service-5,,13
17,/setting/login-channel#popup-service-1,,15
18,/gift/list,받은/보낸 선물 리스트,34364
19,/my/refund/account/detail,환불 계좌 수정,110
20,/order/hdl/dlay,주문처리지연,15
21,/cart/view#,,2
22,/netflix/cert/join,넷플릭스 본인인증,1591
23,/etc/notice#popup-service-1,,15
24,/kr/sh/8blWDy,,1
25,/setting/quit/done,탈퇴 완료,1626
26,/my/subscribe#popup-service-5,,7
27,/order/fail,결제실패,3135
28,/etc/inquiry#popup-service-2,,4
29,/my/detail/payment,결제 관리,470818
30,/my/google/ytp/auth,,42094
31,/s,,1
32,/like-product/list,리스트,2648
33,/member/join/auth/null,,164
34,/my/terms#popup-service-2,,4
35,/product/m.sktuniverse.co.kr,,1
36,/setting/member/info#popup-service-4,,2
37,/my%20,,1
38,/like-product/list#popup-service-1,,9
39,/member/update/phon-number,휴대폰 번호 변경,11
40,/my/delivery#popup-service-1,,7
41,/cart/view#popup-service-3,,153
42,/common/inspect,,34127
43,/netflix/bundle/join/check,,1631
44,/my/disney/auth,,9420
45,/.etc/event/detail,,2
46,/member/join/terms,T 우주 서비스 이용 약관 동의 조회,16287
47,/my,나의 구독,2202020
48,/gift/list/recommend,추천 선물 리스트,1289
49,/my/,,1
50,/my/family#popup-service-2,,11
51,/my%20//10,,1
52,/setting/member/info#popup-service-5,,4
53,/%E3%85%81%E3%84%B4%E3%85%87,,1
54,/my/coupon/detail,나의 쿠폰 상세,111420
55,/my/family,패밀리혜택 메인,1864
56,/category,카테고리,244039
57,/category#popup-service-1,,477
58,/my/unsubscribe,해지,108784
59,/product/my-inquiry#popup-service-1,,7
60,/cart/view#popup-service-7,,5
61,/my/subscribe#popup-service-2,,18
62,/order/already/pay/fnsh,이미 결제 완료,4074
63,/Product/detail,,2
64,/order/complete,결제완료,119817
65,/cart/view#popup-service-8,,2
66,/recent-product/list,리스트,12308
67,/my/termination/check/complete,해지 신청 완료,8719
68,/common/scm/inflow/bridge,,2775
69,/like-product/list#popup-service-3,,2
70,/my/terms#popup-service-1,,715
71,/sti/EDRDDy,,2
72,/use#,,13
73,/member/pass/popup,,47
74,/my/paymentlist#popup-service-2,,1
75,/product/detail#popup-service-1,,1
76,/bypass/bff/v1/sub/getScbOrdPayAmtCalculate,,1
77,/etc/customer/center#popup-service-1,,210
78,/my/subscribe#popup-service-3,,16
79,/my/family#popup-service-1,,1
80,/member/login/channel/google,,484
81,/discover/preview,,4
82,/etc/event,이벤트,3951
83,/etc/event/detail,이벤트 상세,700467
84,/my#,,32
85,/use#popup-service-6,,1
86,/common,,1
87,/use#popup-service-2,,248
88,/setting/member/info#popup-service-3,,7
89,/use/my/sku/detail/dis,,1
90,/setting/login-channel,로그인 수단 관리,3873
91,/member/join/terms/external/agree,,433
92,/setting/quit/reason,탈퇴 사유,1734
93,/#popup-service-5,,37
94,/cart/view#popup-service-4,,40
95,/etc/inquiry,1:1 문의 메인,17525
96,/verse-brand_pc_0204_dn2_thumbnail2&utm_term=%EC%9A%B0%EC%A3%BC%ED%8C%A8%EC%8A%A4&n_media=27758&n_query=%EC%9A%B0%EC%A3%BC%ED%8C%A8%EC%8A%A4&n_rank=1&n_ad_group=grp-a001-04-000000046723835&n_ad=nad-a001-04-000000351154537&n_keyword_id=nkw-a001-04-000006706248033&n_keyword=%EC%9A%B0%EC%A3%BC%ED%8C%A8%EC%8A%A4&n_campaign_type=4&n_contract=tct-a001-04-000000001018314&n_ad_group_type=5,,1
